date,open,high,low,close,adj close,volume
2019-02-04,113.139999,114.660004,112.400002,113.379997,113.379997,3008400
2019-02-05,113.820000,116.540001,113.010002,113.889999,113.889999,3850700
2019-02-06,114.120003,114.989998,109.400002,113.339996,113.339996,2603800
2019-02-07,111.500000,111.538002,108.260002,110.120003,110.120003,3291300
2019-02-08,108.879997,114.916000,108.800003,114.779999,114.779999,3163500
2019-02-11,118.500000,119.000000,113.709999,115.750000,115.750000,6263700
2019-02-12,115.750000,116.669998,114.459999,115.290001,115.290001,6914400
2019-02-13,114.190002,116.889999,105.599998,106.870003,106.870003,19247600
2019-02-14,105.470001,108.550003,103.250000,107.269997,107.269997,9540200
2019-02-15,106.199997,107.657997,104.250000,106.849998,106.849998,5239300
2019-02-19,106.089996,112.849998,106.080002,112.570000,112.570000,7687900
2019-02-20,113.000000,119.250000,112.750000,116.300003,116.300003,8181100
2019-02-21,116.440002,116.509003,111.720001,113.160004,113.160004,4667400
2019-02-22,114.099998,116.610001,113.629997,116.550003,116.550003,3173000
2019-02-25,118.570000,121.099998,116.325996,118.269997,118.269997,4416600
2019-02-26,117.099998,118.959999,116.250000,116.919998,116.919998,2456800
2019-02-27,116.410004,119.470001,116.349998,119.459999,119.459999,3262600
2019-02-28,118.849998,122.370003,118.330002,121.690002,121.690002,4219200
2019-03-01,123.250000,123.900002,121.269997,123.529999,123.529999,3024700
